system,seed,E_total,rel_energy,Fe_n,Fe_contact,Fe_contact_frac,Fe_roughness,Fe_height_mean,Fe_spread,fe_coverage,B_n,B_contact,B_contact_frac,B_roughness,B_height_mean,B_spread
femgo,seed_9,-434.18928460771883,2.7200448190081943,25,9,0.36,0.9919211525159944,3.423597861152936,3.0031507243509754,0.10606060606060606,,,,,,
femgo,seed_9,-435.48563648828537,1.4236929384416612,25,8,0.32,0.9228243376639467,3.2580831494298543,3.1261809407843266,0.11363636363636363,,,,,,
femgo,seed_9,-435.7839622882889,1.1253671384381505,25,7,0.28,1.0627612568990539,3.463413848285418,3.1562754568602216,0.10650887573964497,,,,,,
femgo,seed_9,-434.3512321203811,2.5580973063459282,25,7,0.28,1.0413958739126987,3.297053440522475,3.126477661636354,0.11188811188811189,,,,,,
femgo,seed_9,-435.68985919054427,1.219470236182758,25,7,0.28,1.101313924237003,3.479845550934605,3.550058620887503,0.09467455621301775,,,,,,
femgo,seed_9,-435.2588676251132,1.650461801613801,25,7,0.28,1.0925940960850025,3.442747776024043,3.5060326945776463,0.12878787878787878,,,,,,
femgo,seed_9,-435.3254407664828,1.583888660244213,25,9,0.36,0.9729967567375744,3.2052649883417654,3.0949164885809157,0.12727272727272726,,,,,,
femgo,seed_9,-435.1871014950888,1.7222279316382014,25,8,0.32,0.972748647074131,3.310387585523892,3.1327398242920843,0.10606060606060606,,,,,,
femgo,seed_9,-435.76435551491994,1.1449739118070852,25,7,0.28,1.0883760881257147,3.6399157798853468,3.514799209244565,0.0743801652892562,,,,,,
femgo,seed_9,-435.6124951823572,1.2968342443698475,25,9,0.36,0.9408969253884447,3.2804446097766276,3.1018045392009324,0.10606060606060606,,,,,,
femgo,seed_9,-434.4939637408493,2.4153656858777026,25,8,0.32,1.0146028861651737,3.3257171387677174,3.1954019524094264,0.10743801652892562,,,,,,
femgo,seed_9,-434.5129195137502,2.3964099129768215,25,7,0.28,0.9669746084144435,3.351635453694613,3.06079956746162,0.11805555555555555,,,,,,
femgo,seed_9,-434.026445204455,2.8828842222720255,25,5,0.2,1.199778940445005,3.833290640973886,4.195507962969277,0.11363636363636363,,,,,,
femgo,seed_9,-434.5534744251101,2.3558550016169306,25,8,0.32,0.9916598041064203,3.3660401459155214,3.1108521019665254,0.10897435897435898,,,,,,
femgo,seed_9,-434.5263452679409,2.382984158786144,25,7,0.28,1.1150059714236007,3.4898896687915273,3.4166606577591043,0.08391608391608392,,,,,,
femgo,seed_9,-434.1574782577611,2.7518511689659135,25,10,0.4,0.9809413520984092,3.139116427102932,3.0214638464882206,0.1282051282051282,,,,,,
femgo,seed_9,-434.40513163466835,2.504197792058676,25,10,0.4,1.0401380947215682,3.3228216864742874,3.230164623059638,0.13636363636363635,,,,,,
femgo,seed_9,-435.85174217449435,1.057587252232679,25,7,0.28,1.0392020822370955,3.532261792719626,2.9995101756800917,0.11888111888111888,,,,,,
femgo,seed_9,-436.6334897981879,0.27583962853913135,25,8,0.32,1.030866621616896,3.329743495004135,3.0605896524098792,0.12179487179487179,,,,,,
femgo,seed_9,-436.8379955183079,0.07133390841914888,25,8,0.32,1.0313994529569785,3.424474037929486,3.038183335855207,0.12727272727272726,,,,,,
febmgo,seed_1,-452.4700155451279,2.942342614592235,25,6,0.24,0.7929073008241533,3.232404345122301,2.340375490386167,0.07179487179487179,3,0,0.0,1.0223477051070229,3.6862663476371416,2.3876910396125393
febmgo,seed_1,-452.9364812049584,2.475876954761759,25,7,0.28,0.7852138749147333,3.120087723945028,2.4195816699725157,0.07142857142857142,3,0,0.0,0.9160185703671221,3.6369290758356647,2.138292407488903
febmgo,seed_1,-453.1378636305171,2.274494529203082,25,7,0.28,1.251018576531773,3.6713869811825113,4.567883597114765,0.06593406593406594,3,0,0.0,0.9828509421383061,4.006351628583379,2.407302103198269
febmgo,seed_1,-452.87588048123587,2.536477678484289,25,7,0.28,1.196267018786032,3.6630909990540523,4.124022986322418,0.06153846153846154,3,0,0.0,0.7016519159080585,3.707830214599386,1.591516332871425
febmgo,seed_1,-453.2396211862118,2.1727369735083357,25,7,0.28,0.796361904324634,3.0723068943124576,2.3400065642824437,0.07142857142857142,3,0,0.0,1.0195061419001716,3.5757656577727666,2.2596605977203286
febmgo,seed_1,-452.5751004881127,2.8372576716074605,25,6,0.24,0.7775799495654112,3.1964213521419924,2.271226975271226,0.07142857142857142,3,0,0.0,0.9965459842005914,3.6594486157347763,2.188292572417174
febmgo,seed_1,-453.23187706024044,2.180481099479721,25,10,0.4,0.9084448529829102,3.113230745688303,3.2166768142177578,0.07211538461538461,3,0,0.0,0.652179574605944,3.5390651502413335,1.4393696383791887
febmgo,seed_1,-453.3177518787656,2.094606280954565,25,7,0.28,0.8130557497785941,3.045932481929172,2.3805025631323193,0.06696428571428571,3,0,0.0,0.816171414764658,3.525472563769179,1.7775445057420498
febmgo,seed_1,-452.53027251814814,2.8820856415720186,25,5,0.2,1.2862728148137157,3.738370638502043,4.560861488383589,0.06666666666666667,3,0,0.0,0.2666706521256049,4.800153068873214,0.5925575535203063
febmgo,seed_1,-453.14207016351327,2.270287996206889,25,9,0.36,0.8218225938590521,3.039432659313577,2.3877755873393998,0.07142857142857142,3,0,0.0,0.5463370995724037,3.4227851237391627,1.3330665685209606
febmgo,seed_1,-453.43121403555165,1.9811441241685088,25,8,0.32,0.8452676477187517,3.090903035449271,2.504635494384196,0.06696428571428571,3,0,0.0,0.5644716263584173,3.1883378396453286,1.2936850162543294
febmgo,seed_1,-453.32439046366784,2.087967696052317,25,7,0.28,0.8339794603575016,3.077408058254806,2.606498861138949,0.07589285714285714,3,0,0.0,0.6236391707192164,3.2657328607078635,1.3816722826474788
febmgo,seed_1,-453.7750510944946,1.6373070652255706,25,7,0.28,0.83667889877333,3.1120874162034204,2.468071529854239,0.07142857142857142,3,0,0.0,0.9472847159450303,3.6693651331341264,2.1277988156342698
febmgo,seed_1,-453.169571598467,2.242786561253183,25,8,0.32,0.8740103322014565,3.161368414231969,2.541253997595595,0.07211538461538461,3,0,0.0,1.1506034047484928,3.7779065378076435,2.477547431480618
febmgo,seed_1,-453.48973925674886,1.9226189029712941,25,12,0.48,0.8344636588428936,3.0366998817034,2.370529908469054,0.06696428571428571,3,0,0.0,0.5744428253002951,3.2053784882555596,1.2193204093735535
febmgo,seed_1,-453.5613147273352,1.8510434323849836,25,8,0.32,0.838036109813428,3.071575985074702,2.452840988698558,0.07142857142857142,3,0,0.0,0.574359881174677,3.173605512443187,1.291505600674137
febmgo,seed_1,-453.3928183970932,2.0195397626269482,25,9,0.36,0.8556955752739216,3.1705370044035397,2.5339079541071694,0.06666666666666667,3,0,0.0,0.9247179101792451,3.6444939251069517,2.1696483642232423
febmgo,seed_1,-452.837282906912,2.575075252808176,25,6,0.24,1.3152571877071562,3.8308173565293457,4.349748615307403,0.05641025641025641,3,0,0.0,1.2066218500724097,4.197575001877118,2.9028421281891017
